Gene	Degree	Exp	Low	High	Sum	Avg
AT5G42940	5	6.64925	0.543369	141.754	199.824259	39.9648518
ATMG00960	5	0.802208	1.01209	130.063	200.16923	40.033846
AT1G09840	5	11.9594	1.15268	123.874	202.73012	40.546024
AT4G29220	5	26.1784	0.366351	121.18	125.114601	41.704867
AT1G73790	5	5.85812	3.72557	175.27	216.44952	43.289904
AT4G22212	5	0.34669	0.872886	181.351	220.053006	44.0106012
AT4G30330	5	23.5731	4.3791	129.549	225.0505	45.0101
AT5G40440	5	2.98375	2.95569	166.659	182.28333	45.5708325
AT5G01410	5	119.04	2.54006	115.684	139.12986	46.37662
AT1G01160	5	23.7922	6.90383	168.868	235.55631	47.111262
AT3G54900	5	195.603	4.17979	136.011	235.9936	47.19872
AT1G55250	5	6.21952	3.70257	79.5542	146.27177	48.7572566667
AT1G66750	5	4.49667	6.37124	189.561	251.05859	50.211718
AT4G29510	5	26.5344	50.7624	52.1123	102.8747	51.43735
AT3G52300	5	133.409	5.94151	201.128	257.57333	51.514666
AT1G35580	5	30.8605	6.22171	143.821	271.67381	54.334762
AT4G03190	5	6.91307	11.1224	119.988	277.1724	55.43448
AT5G66760	5	40.6037	15.2511	101.332	280.0317	56.00634
AT5G04990	5	10.3107	3.99007	157.867	168.33575	56.1119166667
AT5G05000	5	16.0707	0.282158	162.56	294.034858	58.8069716
AT3G20550	5	11.7017	0.589052	172.545	294.375862	58.8751724
AT4G37150	5	3.85629	1.07629	156.109	177.76639	59.2554633333
AT3G17840	5	14.5521	2.40022	218.278	242.07937	60.5198425
AT1G55000	5	16.0376	2.4632	119.988	182.3929	60.7976333333
AT4G09000	5	168.868	2.65313	199.476	308.45883	61.691766
AT4G38940	5	1.9096	8.47261	119.988	188.40231	62.80077
AT1G67340	5	6.48218	10.4213	119.988	190.351	63.4503333333
AT1G06110	5	7.63528	10.4213	119.988	190.351	63.4503333333
AT2G32720	5	40.6143	20.3467	162.56	325.584	65.1168
AT1G21790	5	6.38391	1.74879	238.346	283.56505	70.8912625
AT5G41920	5	6.02434	4.35715	123.874	356.79425	71.35885
AT3G13110	5	25.9609	20.5556	186.381	229.3106	76.4368666667
AT2G04890	5	2.66138	32.7999	123.874	385.237	77.0474
AT4G26270	5	3.85834	32.7999	123.874	386.9521	77.39042
AT3G48880	5	8.76189	2.4632	212.01	404.8242	80.96484
AT4G00430	5	153.904	8.05091	369.564	456.70781	91.341562
AT1G49760	5	43.2996	12.8682	282.447	484.0452	96.80904
AT3G13320	5	5.44769	9.59786	278.415	571.53526	114.307052
AT3G01970	5	1.28403	32.7999	278.415	598.4892	119.69784
AT2G20110	5	1.4989	32.7999	278.415	598.4892	119.69784
AT1G14370	5	1.82192	32.7999	278.415	598.4892	119.69784
AT3G61880	5	2.26883	32.7999	278.415	598.4892	119.69784
AT1G80120	5	2.36241	32.7999	278.415	598.4892	119.69784
AT1G12680	5	4.57582	32.7999	278.415	598.4892	119.69784
AT1G68400	5	6.36018	32.7999	278.415	598.4892	119.69784
AT3G02880	5	9.14257	32.7999	278.415	598.4892	119.69784
AT1G27190	5	11.3818	32.7999	278.415	598.4892	119.69784
AT2G13360	5	572.397	2.58026	366.016	371.59197	123.86399
AT2G42395	5	1.64948	18.6533	330.041	689.8174	137.96348
AT1G21750	5	57.2815	0.0895587	588.945	749.4909687	149.89819374
AT2G39800	5	28.7692	0.12316	254.822	466.62816	155.54272
AT1G52220	5	295.452	5.50306	1401.12	1432.62455	358.1561375
AT1G01260	5	2.9144	0.364267	3656.06	3670.992197	734.1984394
AT4G11660	5	2.04317	8.59623	4069.19	4220.90823	1406.96941
AT4G11960	5	23.6039	126.89	3656.06	7383.557	1476.7114
AT2G41370	5	5.38241	0.67135	15123.3	15157.60434	3031.520868
AT4G35900	6	0.797581	0.172197	0.700647	1.153968	0.384656
AT1G52890	6	0.543369	1.41121	6.64925	21.24758	4.249516
AT4G34000	6	6.85223	0.62324	8.79685	22.54356	4.508712
AT1G66500	6	1.20021	0.965092	7.31957	29.043112	4.8405186667
AT5G64430	6	6.8674	0.332017	16.2026	29.111667	4.8519445
AT2G46070	6	7.64807	2.87618	6.73331	24.77548	4.955096
AT3G52050	6	8.06192	1.60402	11.5731	25.74683	5.149366
AT4G13540	6	4.04122	0.163081	11.5731	20.944211	5.23605275
AT4G19660	6	7.54952	3.52186	13.5865	28.14369	5.628738
AT5G03500	6	8.51291	0.405648	11.1129	34.668468	5.778078
AT3G66652	6	2.05671	0.0465524	11.7349	35.5551524	5.9258587333
AT1G47200	6	40.1604	3.29544	11.7893	38.92052	6.4867533333
AT2G27230	6	7.56329	2.41874	13.3211	26.45104	6.61276
AT1G79040	6	6596.99	0.872886	12.281	33.382326	6.6764652
AT2G40765	6	54.7095	0.872886	12.595	33.886116	6.7772232
AT4G16250	6	3.54205	2.42648	12.8573	28.75259	7.1881475
